signal,regime,delta_r2_fixed,delta_r2_augmented,attenuation_ratio_r2,delta_spread_fixed,delta_spread_augmented,attenuation_ratio_spread,rank_ic_delta_fixed,rank_ic_delta_augmented,attenuation_ratio_rank_ic
AnalystRevision,complete_case,0.0,0.0,,0.0,0.0,,0.0,0.0,
AnalystRevision,conditional_mean,0.0009529512846839783,0.00042875733958980256,0.44992576900926146,0.006230055472456542,0.005022010197665333,0.8060939777932876,-0.023852948811166303,-0.02407082267024989,1.009134042956634
AnalystRevision,conditional_quantile_draw,0.0009559840307109546,0.00042959504145123617,0.44937470465040213,0.006179394755520648,0.005006401353497957,0.810176651851746,-0.023873017319181036,-0.024087170724129046,1.0089705210734274
AnalystRevision,residual_bootstrap,0.0009544709574342836,0.00042999744699900866,0.4505086756698037,0.006239148121536996,0.004999556766593661,0.8013204157368259,-0.02387543017998185,-0.024093143753966678,1.009118728849852
AnalystRevision,unconditional_mean,0.00095284661951478,0.000428051136209584,0.4492340398159374,0.006216489884213195,0.0050444307794446554,0.8114596618672236,-0.023849624572973908,-0.02407360195290289,1.0093912329413683
FEPS,complete_case,0.0,0.0,,0.0,0.0,,0.0,0.0,
FEPS,conditional_mean,0.0009558791398951438,0.0008739974479079482,0.9143388650617715,0.0061755585633972935,0.00440573389393304,0.7134146407494127,-0.022729359060517873,-0.02255099138124491,0.9921525424980946
FEPS,conditional_quantile_draw,0.0009509903586795154,0.0008818254594564756,0.9272706620085215,0.006173625833092014,0.004407859823454819,0.7139823407871118,-0.02267877217503409,-0.0225637455082347,0.9949280028957644
FEPS,residual_bootstrap,0.0009563842197140016,0.0008781177549885832,0.9181642031391701,0.006186061635065132,0.004395914303028397,0.7106159883875961,-0.022734420298267118,-0.02255242894159886,0.9919948978561759
FEPS,unconditional_mean,0.0009465110368234164,0.000880871141762718,0.9306506818124464,0.006246079022394319,0.004446151050728417,0.7118307396988498,-0.02263604678191216,-0.02257010855165932,0.997087025358795
ForecastDispersion,complete_case,0.0,0.0,,0.0,0.0,,0.0,0.0,
ForecastDispersion,conditional_mean,0.0017720337641109474,0.0014770636614620525,0.8335414885297712,0.009249551411093807,0.0063602129015042815,0.6876239310239322,-0.006779525537005147,-0.005850502782977173,0.8629664053985747
ForecastDispersion,conditional_quantile_draw,0.001775049555605479,0.0014806330939245438,0.8341362015774775,0.009188627481432017,0.006275240109827489,0.6829355224714707,-0.006802908546504196,-0.0058554755614116626,0.860731188929566
ForecastDispersion,residual_bootstrap,0.0017740603631146712,0.0014783464559680048,0.8333123757821356,0.009217892880106458,0.0063307660929781216,0.6867910242958917,-0.006815593098977651,-0.0058628143436929465,0.8602060390859275
ForecastDispersion,unconditional_mean,0.0017720858556555807,0.0014761402577234684,0.8329959031118006,0.009195394443475034,0.006355085928110451,0.6911161850832795,-0.0067914375030353365,-0.005833795208400199,0.8589926956984979
REV6,complete_case,0.0,0.0,,0.0,0.0,,0.0,0.0,
REV6,conditional_mean,0.02725948175974824,-4.411712469136397,-161.84139185106585,0.006443814354528784,0.005264554607754571,0.8169935255901009,-0.01811772026930098,-0.016414338480101768,0.9059825538820435
REV6,conditional_quantile_draw,0.050080344440934565,0.036858638355544704,0.7359901128279235,0.006245932677748155,0.006167422872205805,0.9874302510781054,-0.01814165186338837,-0.016923341749527747,0.9328445875251695
REV6,residual_bootstrap,0.04350628027102532,0.04201281811404933,0.9656724926223901,0.006299221672961309,0.006220505059785704,0.987503755660245,-0.018142083564637354,-0.016905620760068782,0.9318456008559738
REV6,unconditional_mean,0.0273120364051318,0.02537121590746394,0.9289390044418955,0.006425829880281654,0.0062595283099096755,0.9741198298943001,-0.01811360327513873,-0.01691585072536203,0.9338755226343818
