signal,channel,benchmark_type,coverage_sample,focus_regressor,coef,tstat,pvalue,n_months,avg_cross_section_n
AnalystRevision,direct_missingness,augmented_signal_history,full,missing_indicator,0.00029989961392523575,0.19051806675436242,0.8489031872322799,359,3996.6044568245125
AnalystRevision,direct_missingness,augmented_signal_history,within_signal_coverage,missing_indicator,0.0003461359593411955,0.21927575025205864,0.8264352507415355,359,3980.5710306406686
AnalystRevision,direct_missingness,fixed_x_obs,full,missing_indicator,-5.2866323618842815e-06,-0.006659511382340173,0.9946865179602526,360,4000.275
AnalystRevision,direct_missingness,fixed_x_obs,within_signal_coverage,missing_indicator,0.00014116532364217215,0.17790757979422092,0.8587955579976195,360,3984.1833333333334
AnalystRevision,joint,augmented_signal_history,full,missing_indicator,0.00026416240323650286,0.16821658936964626,0.8664128904804621,359,3996.6044568245125
AnalystRevision,joint,augmented_signal_history,full,x_mar_filled,-0.00021067360697076654,-0.7532135662725133,0.45132158840207703,359,3996.6044568245125
AnalystRevision,joint,augmented_signal_history,outside_signal_coverage,x_mar_filled,-22.289590713599473,-2.818330568277672,0.00482740812915497,90,32.36666666666667
AnalystRevision,joint,augmented_signal_history,within_signal_coverage,missing_indicator,0.00031084821923710944,0.19740356880139717,0.8435117370712039,359,3980.5710306406686
AnalystRevision,joint,augmented_signal_history,within_signal_coverage,x_mar_filled,-0.00021090288789165084,-0.7538419372967297,0.45094413867036476,359,3980.5710306406686
AnalystRevision,joint,fixed_x_obs,full,missing_indicator,-1.7322328646437275e-05,-0.02178323025078569,0.9826208713351944,360,4000.275
AnalystRevision,joint,fixed_x_obs,full,x_mar_filled,-0.0002179484263965701,-0.7792850668099254,0.435811809358838,360,4000.275
AnalystRevision,joint,fixed_x_obs,outside_signal_coverage,x_mar_filled,-17.681989045624842,-2.915568568562724,0.0035504108091904993,91,32.417582417582416
AnalystRevision,joint,fixed_x_obs,within_signal_coverage,missing_indicator,0.00012907360805692355,0.16239917214606622,0.8709915227173917,360,3984.1833333333334
AnalystRevision,joint,fixed_x_obs,within_signal_coverage,x_mar_filled,-0.00021765278839654112,-0.7782739501247439,0.43640752920343917,360,3984.1833333333334
AnalystRevision,recovered_signal,augmented_signal_history,full,x_mar_filled,-0.00020295573974571618,-0.7274941057829749,0.4669233247779433,359,3996.6044568245125
AnalystRevision,recovered_signal,augmented_signal_history,outside_signal_coverage,x_mar_filled,-22.289590713599473,-2.818330568277672,0.00482740812915497,90,32.36666666666667
AnalystRevision,recovered_signal,augmented_signal_history,within_signal_coverage,x_mar_filled,-0.00020310431857323475,-0.7277942738518317,0.46673953030114423,359,3980.5710306406686
AnalystRevision,recovered_signal,fixed_x_obs,full,x_mar_filled,-0.00022615634217281478,-0.8042842540578481,0.42123282925622363,360,4000.275
AnalystRevision,recovered_signal,fixed_x_obs,outside_signal_coverage,x_mar_filled,-17.681989045624842,-2.915568568562724,0.0035504108091904993,91,32.417582417582416
AnalystRevision,recovered_signal,fixed_x_obs,within_signal_coverage,x_mar_filled,-0.00022602648495927352,-0.8038693859222069,0.42147241218213394,360,3984.1833333333334
FEPS,direct_missingness,augmented_signal_history,full,missing_indicator,-0.0007122144763875277,-0.32829947704132445,0.7426852395453044,359,4002.573816155989
FEPS,direct_missingness,augmented_signal_history,within_signal_coverage,missing_indicator,-0.0006459040192664458,-0.29845081062085876,0.7653591136957185,359,3994.4930362116993
FEPS,direct_missingness,fixed_x_obs,full,missing_indicator,-0.00012372093391154165,-0.1579247126292915,0.8745161245574805,360,4000.275
FEPS,direct_missingness,fixed_x_obs,within_signal_coverage,missing_indicator,-5.617606666106134e-05,-0.07194682686613599,0.9426442241304249,360,3992.213888888889
FEPS,joint,augmented_signal_history,full,missing_indicator,-0.0008467936645113396,-0.3923475061550267,0.694801466871599,359,4002.573816155989
FEPS,joint,augmented_signal_history,full,x_mar_filled,0.0002884225001993235,0.47577649307681064,0.6342336184963607,359,4002.573816155989
FEPS,joint,augmented_signal_history,outside_signal_coverage,x_mar_filled,-0.30401799489898274,-0.07093438634199435,0.9434499759511792,11,27.272727272727273
FEPS,joint,augmented_signal_history,within_signal_coverage,missing_indicator,-0.0007763976722035522,-0.3605869085609889,0.7184082772825018,359,3994.4930362116993
FEPS,joint,augmented_signal_history,within_signal_coverage,x_mar_filled,0.00027980289340933827,0.4620750942918526,0.6440274698323143,359,3994.4930362116993
FEPS,joint,fixed_x_obs,full,missing_indicator,-0.00012299614462526077,-0.15692881288359023,0.8753009517917518,360,4000.275
FEPS,joint,fixed_x_obs,full,x_mar_filled,3.776312139135805e-05,0.4170365607475096,0.6766516658122546,360,4000.275
FEPS,joint,fixed_x_obs,outside_signal_coverage,x_mar_filled,-0.21763916298594171,-0.6744280137194266,0.5000392376288312,11,27.272727272727273
FEPS,joint,fixed_x_obs,within_signal_coverage,missing_indicator,-5.5472554202762986e-05,-0.07101565931212461,0.9433852926280948,360,3992.213888888889
FEPS,joint,fixed_x_obs,within_signal_coverage,x_mar_filled,3.7921688714308014e-05,0.4189440515225233,0.6752570217611364,360,3992.213888888889
FEPS,recovered_signal,augmented_signal_history,full,x_mar_filled,0.00036085577375148225,0.6031790682645417,0.5463895708952902,359,4002.573816155989
FEPS,recovered_signal,augmented_signal_history,outside_signal_coverage,x_mar_filled,-0.30401799489898274,-0.07093438634199435,0.9434499759511792,11,27.272727272727273
FEPS,recovered_signal,augmented_signal_history,within_signal_coverage,x_mar_filled,0.0003495845782534666,0.5854824642259124,0.5582233542482646,359,3994.4930362116993
FEPS,recovered_signal,fixed_x_obs,full,x_mar_filled,3.744769759349608e-05,0.412160630237411,0.680221691493641,360,4000.275
FEPS,recovered_signal,fixed_x_obs,outside_signal_coverage,x_mar_filled,-0.21763916298594171,-0.6744280137194266,0.5000392376288312,11,27.272727272727273
FEPS,recovered_signal,fixed_x_obs,within_signal_coverage,x_mar_filled,3.7605802382868376e-05,0.41400983116090895,0.6788669069438945,360,3992.213888888889
ForecastDispersion,direct_missingness,augmented_signal_history,full,missing_indicator,0.0019121328216887082,2.726149258226135,0.006407801474816695,359,4001.490250696379
ForecastDispersion,direct_missingness,augmented_signal_history,within_signal_coverage,missing_indicator,0.002320074177514333,3.375939108004275,0.0007356419855988303,359,3685.440111420613
ForecastDispersion,direct_missingness,fixed_x_obs,full,missing_indicator,-0.0014045737947892144,-2.0893698332949806,0.03667444458157829,360,4000.275
ForecastDispersion,direct_missingness,fixed_x_obs,within_signal_coverage,missing_indicator,-0.00028497214868635444,-0.45166408673504155,0.6515109940100627,360,3684.475
ForecastDispersion,joint,augmented_signal_history,full,missing_indicator,0.0019064277573954671,2.7324499418257004,0.006286522365748436,359,4001.490250696379
ForecastDispersion,joint,augmented_signal_history,full,x_mar_filled,0.00018728946847912291,0.4217861843210192,0.6731810907984428,359,4001.490250696379
ForecastDispersion,joint,augmented_signal_history,outside_signal_coverage,x_mar_filled,-0.5014280665010693,-0.7264331705554985,0.4675732625661253,359,316.050139275766
ForecastDispersion,joint,augmented_signal_history,within_signal_coverage,missing_indicator,0.0023163866768780754,3.3886609108663857,0.0007023480611255994,359,3685.440111420613
ForecastDispersion,joint,augmented_signal_history,within_signal_coverage,x_mar_filled,0.00018290556129528615,0.41549251430254974,0.6777813939466116,359,3685.440111420613
ForecastDispersion,joint,fixed_x_obs,full,missing_indicator,-0.001423628369226021,-2.1155676056324006,0.03438159941529616,360,4000.275
ForecastDispersion,joint,fixed_x_obs,full,x_mar_filled,-6.759964911757295e-05,-0.22820816999989915,0.8194844102694099,360,4000.275
ForecastDispersion,joint,fixed_x_obs,outside_signal_coverage,x_mar_filled,-0.4889787476594492,-0.9232255476834286,0.35588967781242076,360,315.8
ForecastDispersion,joint,fixed_x_obs,within_signal_coverage,missing_indicator,-0.00030610458691469314,-0.4844205121961549,0.6280874639081329,360,3684.475
ForecastDispersion,joint,fixed_x_obs,within_signal_coverage,x_mar_filled,-4.990400612272761e-05,-0.16972769206900454,0.865224294916787,360,3684.475
ForecastDispersion,recovered_signal,augmented_signal_history,full,x_mar_filled,0.0001402471144706721,0.3228469450715965,0.7468111580566639,359,4001.490250696379
ForecastDispersion,recovered_signal,augmented_signal_history,outside_signal_coverage,x_mar_filled,-0.5014280665010693,-0.7264331705554985,0.4675732625661253,359,316.050139275766
ForecastDispersion,recovered_signal,augmented_signal_history,within_signal_coverage,x_mar_filled,0.00013134800745286676,0.3057298453604784,0.759810347362656,359,3685.440111420613
