signal,benchmark_type,sample_name,specification,coefficient,is_focus_regressor,month_count,mean_coefficient,t_stat,p_value,positive_month_share,coefficient_std,mean_cross_section_nobs,mean_cross_section_r2
AnalystRevision,augmented_signal_history,outside_signal_coverage,mar_signal_only,x_mar_filled,True,90,-22.289590713599473,-2.818330568277672,0.00482740812915497,0.4222222222222222,99.62707166322726,32.36666666666667,0.549545028937909
AnalystRevision,augmented_signal_history,outside_signal_coverage,missing_plus_mar_signal,x_mar_filled,True,90,-22.289590713599473,-2.818330568277672,0.00482740812915497,0.4222222222222222,99.62707166322726,32.36666666666667,0.549545028937909
AnalystRevision,augmented_signal_history,within_signal_coverage,baseline_missing_only,missing_indicator,True,359,0.0003461359593411955,0.21927575025205864,0.8264352507415355,0.5125348189415042,0.03093355928292901,3980.5710306406686,0.05915857799653001
AnalystRevision,augmented_signal_history,within_signal_coverage,mar_signal_only,x_mar_filled,True,359,-0.00020310431857323475,-0.7277942738518317,0.46673953030114423,0.4986072423398329,0.00487282100324417,3980.5710306406686,0.05910258580158832
AnalystRevision,augmented_signal_history,within_signal_coverage,missing_plus_mar_signal,missing_indicator,True,359,0.00031084821923710944,0.19740356880139717,0.8435117370712039,0.5125348189415042,0.030904995968704385,3980.5710306406686,0.05960071691940102
AnalystRevision,augmented_signal_history,within_signal_coverage,missing_plus_mar_signal,x_mar_filled,True,359,-0.00021090288789165084,-0.7538419372967297,0.45094413867036476,0.49303621169916434,0.004871585811000447,3980.5710306406686,0.05960071691940102
AnalystRevision,fixed_x_obs,outside_signal_coverage,mar_signal_only,x_mar_filled,True,91,-17.681989045624842,-2.915568568562724,0.0035504108091904993,0.4175824175824176,83.80989854278468,32.417582417582416,0.527948814569259
AnalystRevision,fixed_x_obs,outside_signal_coverage,missing_plus_mar_signal,x_mar_filled,True,91,-17.681989045624842,-2.915568568562724,0.0035504108091904993,0.4175824175824176,83.80989854278468,32.417582417582416,0.527948814569259
AnalystRevision,fixed_x_obs,within_signal_coverage,baseline_missing_only,missing_indicator,True,360,0.00014116532364217215,0.17790757979422092,0.8587955579976195,0.5222222222222223,0.013980857509509255,3984.1833333333334,0.05716520463422798
AnalystRevision,fixed_x_obs,within_signal_coverage,mar_signal_only,x_mar_filled,True,360,-0.00022602648495927352,-0.8038693859222069,0.42147241218213394,0.4888888888888889,0.004910283940803966,3984.1833333333334,0.05690529973122929
AnalystRevision,fixed_x_obs,within_signal_coverage,missing_plus_mar_signal,missing_indicator,True,360,0.00012907360805692355,0.16239917214606622,0.8709915227173917,0.5194444444444445,0.01395190442518061,3984.1833333333334,0.05760782622943956
AnalystRevision,fixed_x_obs,within_signal_coverage,missing_plus_mar_signal,x_mar_filled,True,360,-0.00021765278839654112,-0.7782739501247439,0.43640752920343917,0.49166666666666664,0.004889390515120536,3984.1833333333334,0.05760782622943956
FEPS,augmented_signal_history,outside_signal_coverage,mar_signal_only,x_mar_filled,True,11,-0.30401799489898274,-0.07093438634199435,0.9434499759511792,0.7272727272727273,36.08713130494973,27.272727272727273,0.601599558486821
FEPS,augmented_signal_history,outside_signal_coverage,missing_plus_mar_signal,x_mar_filled,True,11,-0.30401799489898274,-0.07093438634199435,0.9434499759511792,0.7272727272727273,36.08713130494973,27.272727272727273,0.601599558486821
FEPS,augmented_signal_history,within_signal_coverage,baseline_missing_only,missing_indicator,True,359,-0.0006459040192664458,-0.29845081062085876,0.7653591136957185,0.5097493036211699,0.03402425492783609,3994.4930362116993,0.05885313401505836
FEPS,augmented_signal_history,within_signal_coverage,mar_signal_only,x_mar_filled,True,359,0.0003495845782534666,0.5854824642259124,0.5582233542482646,0.5348189415041783,0.011109089682394489,3994.4930362116993,0.058965016104239036
FEPS,augmented_signal_history,within_signal_coverage,missing_plus_mar_signal,missing_indicator,True,359,-0.0007763976722035522,-0.3605869085609889,0.7184082772825018,0.5013927576601671,0.0342802272596121,3994.4930362116993,0.05942523057312001
FEPS,augmented_signal_history,within_signal_coverage,missing_plus_mar_signal,x_mar_filled,True,359,0.00027980289340933827,0.4620750942918526,0.6440274698323143,0.5236768802228412,0.011266082791957803,3994.4930362116993,0.05942523057312001
FEPS,fixed_x_obs,outside_signal_coverage,mar_signal_only,x_mar_filled,True,11,-0.21763916298594171,-0.6744280137194266,0.5000392376288312,0.7272727272727273,2.1959669635923436,27.272727272727273,0.5260339801526631
FEPS,fixed_x_obs,outside_signal_coverage,missing_plus_mar_signal,x_mar_filled,True,11,-0.21763916298594171,-0.6744280137194266,0.5000392376288312,0.7272727272727273,2.1959669635923436,27.272727272727273,0.5260339801526631
FEPS,fixed_x_obs,within_signal_coverage,baseline_missing_only,missing_indicator,True,360,-5.617606666106134e-05,-0.07194682686613599,0.9426442241304249,0.5305555555555556,0.014027931484230155,3992.213888888889,0.05711251338361074
FEPS,fixed_x_obs,within_signal_coverage,mar_signal_only,x_mar_filled,True,360,3.7605802382868376e-05,0.41400983116090895,0.6788669069438945,0.5027777777777778,0.001323741786659812,3992.213888888889,0.05651398300129661
FEPS,fixed_x_obs,within_signal_coverage,missing_plus_mar_signal,missing_indicator,True,360,-5.5472554202762986e-05,-0.07101565931212461,0.9433852926280948,0.5305555555555556,0.01402678851501729,3992.213888888889,0.05721054347640391
FEPS,fixed_x_obs,within_signal_coverage,missing_plus_mar_signal,x_mar_filled,True,360,3.7921688714308014e-05,0.4189440515225233,0.6752570217611364,0.5027777777777778,0.001324567619264665,3992.213888888889,0.05721054347640391
ForecastDispersion,augmented_signal_history,outside_signal_coverage,mar_signal_only,x_mar_filled,True,359,-0.5014280665010693,-0.7264331705554985,0.4675732625661253,0.4818941504178273,16.794174396841985,316.050139275766,0.13675640644751844
ForecastDispersion,augmented_signal_history,outside_signal_coverage,missing_plus_mar_signal,x_mar_filled,True,359,-0.5014280665010693,-0.7264331705554985,0.4675732625661253,0.4818941504178273,16.794174396841985,316.050139275766,0.13675640644751844
ForecastDispersion,augmented_signal_history,within_signal_coverage,baseline_missing_only,missing_indicator,True,359,0.002320074177514333,3.375939108004275,0.0007356419855988303,0.5821727019498607,0.013927361713363312,3685.440111420613,0.0614629216728799
ForecastDispersion,augmented_signal_history,within_signal_coverage,mar_signal_only,x_mar_filled,True,359,0.00013134800745286676,0.3057298453604784,0.759810347362656,0.5097493036211699,0.008784198952542123,3685.440111420613,0.06140394440954019
ForecastDispersion,augmented_signal_history,within_signal_coverage,missing_plus_mar_signal,missing_indicator,True,359,0.0023163866768780754,3.3886609108663857,0.0007023480611255994,0.584958217270195,0.013929703874500583,3685.440111420613,0.061824289267249484
ForecastDispersion,augmented_signal_history,within_signal_coverage,missing_plus_mar_signal,x_mar_filled,True,359,0.00018290556129528615,0.41549251430254974,0.6777813939466116,0.5013927576601671,0.009169091685711126,3685.440111420613,0.061824289267249484
ForecastDispersion,fixed_x_obs,outside_signal_coverage,mar_signal_only,x_mar_filled,True,360,-0.4889787476594492,-0.9232255476834286,0.35588967781242076,0.4722222222222222,13.209098777323474,315.8,0.13228425498370153
ForecastDispersion,fixed_x_obs,outside_signal_coverage,missing_plus_mar_signal,x_mar_filled,True,360,-0.4889787476594492,-0.9232255476834286,0.35588967781242076,0.4722222222222222,13.209098777323474,315.8,0.13228425498370153
ForecastDispersion,fixed_x_obs,within_signal_coverage,baseline_missing_only,missing_indicator,True,360,-0.00028497214868635444,-0.45166408673504155,0.6515109940100627,0.5027777777777778,0.011694237255529075,3684.475,0.05908744229254466
ForecastDispersion,fixed_x_obs,within_signal_coverage,mar_signal_only,x_mar_filled,True,360,2.336381594548537e-05,0.07777596124017001,0.9380062686643571,0.49444444444444446,0.006500167074666065,3684.475,0.05879145047733497
ForecastDispersion,fixed_x_obs,within_signal_coverage,missing_plus_mar_signal,missing_indicator,True,360,-0.00030610458691469314,-0.4844205121961549,0.6280874639081329,0.5027777777777778,0.01170140419522334,3684.475,0.0594450593856904
ForecastDispersion,fixed_x_obs,within_signal_coverage,missing_plus_mar_signal,x_mar_filled,True,360,-4.990400612272761e-05,-0.16972769206900454,0.865224294916787,0.4861111111111111,0.006387912633211242,3684.475,0.0594450593856904
REV6,augmented_signal_history,outside_signal_coverage,mar_signal_only,x_mar_filled,True,317,-13.034341160652964,-1.2638373802272969,0.20628840139685545,0.5110410094637224,135.5369992544519,72.70031545741325,0.39663073632176854
REV6,augmented_signal_history,outside_signal_coverage,missing_plus_mar_signal,x_mar_filled,True,317,-13.034341160652964,-1.2638373802272969,0.20628840139685545,0.5110410094637224,135.5369992544519,72.70031545741325,0.39663073632176854
REV6,augmented_signal_history,within_signal_coverage,baseline_missing_only,missing_indicator,True,357,-0.00046756599378954434,-0.17134652987451193,0.8639512958633483,0.48179271708683474,0.05174859481215508,3939.6162464985996,0.06060156601320599
REV6,augmented_signal_history,within_signal_coverage,mar_signal_only,x_mar_filled,True,357,0.02295973734822089,3.516655836163147,0.00043702003576735754,0.5994397759103641,0.11126359437650124,3939.6162464985996,0.06137809959620813
REV6,augmented_signal_history,within_signal_coverage,missing_plus_mar_signal,missing_indicator,True,357,-0.0007041280895175961,-0.2549224523364052,0.7987829945765879,0.484593837535014,0.05190653130684625,3939.6162464985996,0.06201276130145117
REV6,augmented_signal_history,within_signal_coverage,missing_plus_mar_signal,x_mar_filled,True,357,0.02264299809198978,3.4764808664864906,0.0005080404776111621,0.5966386554621849,0.1108159267632099,3939.6162464985996,0.06201276130145117
REV6,fixed_x_obs,outside_signal_coverage,mar_signal_only,x_mar_filled,True,316,3.732317750136513,1.2247755978572414,0.22065978151783272,0.4778481012658228,45.3946341854212,72.75632911392405,0.3520589092929913
REV6,fixed_x_obs,outside_signal_coverage,missing_plus_mar_signal,x_mar_filled,True,316,3.732317750136513,1.2247755978572414,0.22065978151783272,0.4778481012658228,45.3946341854212,72.75632911392405,0.3520589092929913
REV6,fixed_x_obs,within_signal_coverage,baseline_missing_only,missing_indicator,True,356,0.0008663919946657238,1.0406527372257668,0.29803674578812067,0.5674157303370787,0.015133209277560924,3937.7359550561796,0.0577378587081523
REV6,fixed_x_obs,within_signal_coverage,mar_signal_only,x_mar_filled,True,356,0.012657005837035367,3.936326329559283,8.273844682592822e-05,0.6320224719101124,0.04950769691705424,3937.7359550561796,0.05828895493964602
REV6,fixed_x_obs,within_signal_coverage,missing_plus_mar_signal,missing_indicator,True,356,0.0009426740122401145,1.1377924513463218,0.25520715777150327,0.5646067415730337,0.015122596225322532,3937.7359550561796,0.05905313752361903
REV6,fixed_x_obs,within_signal_coverage,missing_plus_mar_signal,x_mar_filled,True,356,0.01279552808617285,3.951115406529763,7.778779985943581e-05,0.6376404494382022,0.0499983596909621,3937.7359550561796,0.05905313752361903
