signal,benchmark_type,sample_name,specification,coefficient,is_focus_regressor,n_obs,r_squared,coefficient_value,t_stat,p_value
AnalystRevision,fixed_x_obs,full,baseline_missing_only,age,False,1440099,0.0011961694556238411,6.050710800139282e-05,3.9573501923595553,7.578578651854029e-05
AnalystRevision,fixed_x_obs,full,baseline_missing_only,baspread,False,1440099,0.0011961694556238411,0.07326376841871823,3.5019022275219664,0.0004619491057105397
AnalystRevision,fixed_x_obs,full,baseline_missing_only,beta,False,1440099,0.0011961694556238411,-0.0015593787302872726,-4.352049283397074,1.3487093393065506e-05
AnalystRevision,fixed_x_obs,full,baseline_missing_only,bm,False,1440099,0.0011961694556238411,0.0037640687682181694,8.826498049566045,1.0800423199138002e-18
AnalystRevision,fixed_x_obs,full,baseline_missing_only,const,False,1440099,0.0011961694556238411,0.02432528595755279,9.8441387174139,7.265887343485067e-23
AnalystRevision,fixed_x_obs,full,baseline_missing_only,idiovol,False,1440099,0.0011961694556238411,-0.03867686791181098,-4.216442702868034,2.4818630942626255e-05
AnalystRevision,fixed_x_obs,full,baseline_missing_only,ill,False,1440099,0.0011961694556238411,153.45333201940508,6.207278550689994,5.390999574093822e-10
AnalystRevision,fixed_x_obs,full,baseline_missing_only,maxret,False,1440099,0.0011961694556238411,-0.07447307325221911,-6.8368427808810734,8.095750279429088e-12
AnalystRevision,fixed_x_obs,full,baseline_missing_only,missing_indicator,True,1440099,0.0011961694556238411,-0.001168427273488415,-2.2994445123072738,0.021479710795756952
AnalystRevision,fixed_x_obs,full,baseline_missing_only,mom1m,False,1440099,0.0011961694556238411,0.0013344686415857421,0.6524111762620011,0.5141359564046717
AnalystRevision,fixed_x_obs,full,baseline_missing_only,mve,False,1440099,0.0011961694556238411,-0.001108270564995359,-7.6960904033538355,1.4029257011993031e-14
AnalystRevision,fixed_x_obs,full,baseline_missing_only,retvol,False,1440099,0.0011961694556238411,0.23701175880507397,6.0782039296251895,1.2153613046387737e-09
AnalystRevision,fixed_x_obs,full,baseline_missing_only,std_dolvol,False,1440099,0.0011961694556238411,-0.002295444397715168,-3.199475612948454,0.0013767783447146801
AnalystRevision,fixed_x_obs,full,baseline_missing_only,std_turn,False,1440099,0.0011961694556238411,1.4433827772665492e-05,0.4717808274578341,0.6370832372091394
AnalystRevision,fixed_x_obs,full,baseline_missing_only,turn,False,1440099,0.0011961694556238411,-0.0009280073120278638,-5.157342466311458,2.504794292514717e-07
AnalystRevision,fixed_x_obs,full,mar_signal_only,age,False,1440099,0.0011913836727980298,5.552831568844663e-05,3.642945718719636,0.00026953569395586575
AnalystRevision,fixed_x_obs,full,mar_signal_only,baspread,False,1440099,0.0011913836727980298,0.07328387929706501,3.502734795566872,0.00046050771783954944
AnalystRevision,fixed_x_obs,full,mar_signal_only,beta,False,1440099,0.0011913836727980298,-0.0014639215508683333,-4.122341365753122,3.750408729011927e-05
AnalystRevision,fixed_x_obs,full,mar_signal_only,bm,False,1440099,0.0011913836727980298,0.003759862062558542,8.817305491952721,1.1724702846892602e-18
AnalystRevision,fixed_x_obs,full,mar_signal_only,const,False,1440099,0.0011913836727980298,0.02332916444392826,9.5141914807213,1.8313138900867177e-21
AnalystRevision,fixed_x_obs,full,mar_signal_only,idiovol,False,1440099,0.0011913836727980298,-0.04087036290258911,-4.4634625139386355,8.064571267040775e-06
AnalystRevision,fixed_x_obs,full,mar_signal_only,ill,False,1440099,0.0011913836727980298,152.29354716744038,6.164445174676318,7.073069737587059e-10
AnalystRevision,fixed_x_obs,full,mar_signal_only,maxret,False,1440099,0.0011913836727980298,-0.0745065736130243,-6.840248801904061,7.905575722855086e-12
AnalystRevision,fixed_x_obs,full,mar_signal_only,mom1m,False,1440099,0.0011913836727980298,0.0012895196714773972,0.630206668766924,0.5285593766966482
