signal,year,total_count,eligible_count,observed_eligible_count,residual_missing_count,residual_missing_rate_total,residual_missing_rate_given_eligible,eligible_observation_rate
AnalystRevision,1988,41477,21074,14233,6841,0.1649347831328206,0.3246180127170922,0.6753819872829079
AnalystRevision,1989,42465,42465,29300,13165,0.31002001648416344,0.31002001648416344,0.6899799835158366
AnalystRevision,1990,42649,42649,30140,12509,0.29330113250017587,0.29330113250017587,0.7066988674998241
AnalystRevision,1991,43471,43471,29909,13562,0.31197810034275725,0.31197810034275725,0.6880218996572428
AnalystRevision,1992,44653,44653,30004,14649,0.3280630640718429,0.3280630640718429,0.6719369359281572
AnalystRevision,1993,47982,47982,31884,16098,0.3355008128048018,0.3355008128048018,0.6644991871951982
AnalystRevision,1994,54024,54024,35599,18425,0.34105212498148973,0.34105212498148973,0.6589478750185103
AnalystRevision,1995,60998,60998,40954,20044,0.32860093773566346,0.32860093773566346,0.6713990622643365
AnalystRevision,1996,63645,63645,43954,19691,0.3093880116269935,0.3093880116269935,0.6906119883730065
AnalystRevision,1997,66538,66538,46786,19752,0.2968529261474646,0.2968529261474646,0.7031470738525354
AnalystRevision,1998,67689,67689,49553,18136,0.2679312739145208,0.2679312739145208,0.7320687260854791
AnalystRevision,1999,65063,65063,48521,16542,0.2542458847578501,0.2542458847578501,0.74575411524215
AnalystRevision,2000,62471,62471,45424,17047,0.27287861567767446,0.27287861567767446,0.7271213843223255
AnalystRevision,2001,60139,60139,42447,17692,0.29418513776417965,0.29418513776417965,0.7058148622358204
AnalystRevision,2002,57332,57332,39264,18068,0.31514686388055535,0.31514686388055535,0.6848531361194446
AnalystRevision,2003,53731,53731,37036,16695,0.3107144851203216,0.3107144851203216,0.6892855148796784
AnalystRevision,2004,51294,51294,36325,14969,0.29182750419152337,0.29182750419152337,0.7081724958084766
AnalystRevision,2005,50116,50116,36701,13415,0.26767898475536755,0.26767898475536755,0.7323210152446324
AnalystRevision,2006,49533,49533,37162,12371,0.24975269012577472,0.24975269012577472,0.7502473098742253
AnalystRevision,2007,48469,48469,37479,10990,0.22674286657451154,0.22674286657451154,0.7732571334254884
AnalystRevision,2008,47294,47294,36779,10515,0.222332642618514,0.222332642618514,0.7776673573814861
AnalystRevision,2009,45632,45632,35624,10008,0.21931977559607294,0.21931977559607294,0.780680224403927
AnalystRevision,2010,43609,43609,35626,7983,0.18305854296131532,0.18305854296131532,0.8169414570386847
AnalystRevision,2011,41813,41813,34157,7656,0.18310094946547725,0.18310094946547725,0.8168990505345227
AnalystRevision,2012,40557,40557,33021,7536,0.18581256010059916,0.18581256010059916,0.8141874398994008
AnalystRevision,2013,39404,39404,32727,6677,0.16944980205055324,0.16944980205055324,0.8305501979494467
AnalystRevision,2014,39089,39089,32086,7003,0.1791552610708895,0.1791552610708895,0.8208447389291105
AnalystRevision,2015,39747,39747,32559,7188,0.1808438372707374,0.1808438372707374,0.8191561627292626
AnalystRevision,2016,39938,39938,33267,6671,0.16703390254895087,0.16703390254895087,0.8329660974510491
AnalystRevision,2017,39126,39126,32692,6434,0.16444308132699484,0.16444308132699484,0.8355569186730052
AnalystRevision,2018,38469,38469,32130,6339,0.16478203228573657,0.16478203228573657,0.8352179677142635
AnalystRevision,2019,38380,38380,32190,6190,0.16128191766545075,0.16128191766545075,0.8387180823345493
AnalystRevision,2020,38378,38378,32418,5960,0.15529730574808484,0.15529730574808484,0.8447026942519151
AnalystRevision,2021,38947,38947,32913,6034,0.1549284925668216,0.1549284925668216,0.8450715074331784
AnalystRevision,2022,40801,40801,34465,6336,0.15529031151197276,0.15529031151197276,0.8447096884880273
AnalystRevision,2023,42044,21353,18487,2866,0.06816668252307106,0.13422001592282115,0.8657799840771788
FEPS,1988,41477,21074,14502,6572,0.15844926103623694,0.3118534687292398,0.6881465312707602
FEPS,1989,42465,42465,29915,12550,0.2955375014718003,0.2955375014718003,0.7044624985281996
