signal,coverage_basis,dimension,group_value,total_count,non_missing_count,coverage_rate
AnalystRevision,raw,exchange,1,567120,509752,0.8988432783185216
AnalystRevision,raw,exchange,2,124044,57321,0.46210215729902293
AnalystRevision,raw,exchange,3,1035803,735929,0.7104912806778895
AnalystRevision,raw,overall,all,1726967,1303002,0.7545031260006705
AnalystRevision,raw,size_bucket,1,264031,87919,0.3329874143566475
AnalystRevision,raw,size_bucket,2,339518,208351,0.6136670220724675
AnalystRevision,raw,size_bucket,3,367892,299560,0.8142607069466039
AnalystRevision,raw,size_bucket,4,376436,344873,0.9161530778140241
AnalystRevision,raw,size_bucket,5,379090,362299,0.95570708802659
AnalystRevision,raw,year,1988,41477,29837,0.7193625382742243
AnalystRevision,raw,year,1989,42465,30671,0.7222653950312021
AnalystRevision,raw,year,1990,42649,30588,0.7172032169570213
AnalystRevision,raw,year,1991,43471,30458,0.700651008718456
AnalystRevision,raw,year,1992,44653,30857,0.6910397957584037
AnalystRevision,raw,year,1993,47982,34241,0.7136217748322288
AnalystRevision,raw,year,1994,54024,39050,0.722826891751814
AnalystRevision,raw,year,1995,60998,43810,0.7182202695170333
AnalystRevision,raw,year,1996,63645,47123,0.7404038023411108
AnalystRevision,raw,year,1997,66538,50610,0.7606179927259611
AnalystRevision,raw,year,1998,67689,51920,0.7670374802405118
AnalystRevision,raw,year,1999,65063,49924,0.7673178304105251
AnalystRevision,raw,year,2000,62471,46640,0.746586416097069
AnalystRevision,raw,year,2001,60139,42508,0.7068291790684913
AnalystRevision,raw,year,2002,57332,38951,0.6793937068303914
AnalystRevision,raw,year,2003,53731,37447,0.6969347304163332
AnalystRevision,raw,year,2004,51294,37499,0.7310601629820251
AnalystRevision,raw,year,2005,50116,37943,0.7571035198339852
AnalystRevision,raw,year,2006,49533,38678,0.7808531685946742
AnalystRevision,raw,year,2007,48469,38599,0.7963646867069674
AnalystRevision,raw,year,2008,47294,37351,0.789761914830634
AnalystRevision,raw,year,2009,45632,36215,0.7936316619915849
AnalystRevision,raw,year,2010,43609,36338,0.8332683620353597
AnalystRevision,raw,year,2011,41813,34198,0.8178796068208452
AnalystRevision,raw,year,2012,40557,33736,0.8318169489853786
AnalystRevision,raw,year,2013,39404,32975,0.836843975230941
AnalystRevision,raw,year,2014,39089,33174,0.8486786563994986
AnalystRevision,raw,year,2015,39747,33792,0.8501773718771228
AnalystRevision,raw,year,2016,39938,34154,0.8551755220591918
AnalystRevision,raw,year,2017,39126,33280,0.8505852885549251
AnalystRevision,raw,year,2018,38469,32990,0.8575736307156412
AnalystRevision,raw,year,2019,38380,33191,0.8647993746743096
AnalystRevision,raw,year,2020,38378,33198,0.8650268382927719
AnalystRevision,raw,year,2021,38947,34413,0.8835853852671579
AnalystRevision,raw,year,2022,40801,36643,0.8980907330702679
AnalystRevision,raw,year,2023,42044,0,0.0
AnalystRevision,tier1,exchange,1,567120,502513,0.8860787840315982
AnalystRevision,tier1,exchange,2,124044,54095,0.43609525652187936
AnalystRevision,tier1,exchange,3,1035803,707208,0.6827630350558939
AnalystRevision,tier1,overall,all,1726967,1263816,0.7318124781770584
AnalystRevision,tier1,size_bucket,1,264031,93976,0.35592790240539934
AnalystRevision,tier1,size_bucket,2,339518,200934,0.5918213467327211
AnalystRevision,tier1,size_bucket,3,367892,282917,0.7690218868580997
AnalystRevision,tier1,size_bucket,4,376436,329923,0.87643849153641
AnalystRevision,tier1,size_bucket,5,379090,356066,0.9392650821704608
AnalystRevision,tier1,year,1988,41477,14233,0.34315403717723075
AnalystRevision,tier1,year,1989,42465,29300,0.6899799835158366
AnalystRevision,tier1,year,1990,42649,30140,0.7066988674998241
AnalystRevision,tier1,year,1991,43471,29909,0.6880218996572428
AnalystRevision,tier1,year,1992,44653,30004,0.6719369359281572
AnalystRevision,tier1,year,1993,47982,31884,0.6644991871951982
AnalystRevision,tier1,year,1994,54024,35599,0.6589478750185103
AnalystRevision,tier1,year,1995,60998,40954,0.6713990622643365
AnalystRevision,tier1,year,1996,63645,43954,0.6906119883730065
AnalystRevision,tier1,year,1997,66538,46786,0.7031470738525354
AnalystRevision,tier1,year,1998,67689,49553,0.7320687260854791
AnalystRevision,tier1,year,1999,65063,48521,0.74575411524215
AnalystRevision,tier1,year,2000,62471,45424,0.7271213843223255
AnalystRevision,tier1,year,2001,60139,42447,0.7058148622358204
AnalystRevision,tier1,year,2002,57332,39264,0.6848531361194446
AnalystRevision,tier1,year,2003,53731,37036,0.6892855148796784
AnalystRevision,tier1,year,2004,51294,36325,0.7081724958084766
AnalystRevision,tier1,year,2005,50116,36701,0.7323210152446324
AnalystRevision,tier1,year,2006,49533,37162,0.7502473098742253
AnalystRevision,tier1,year,2007,48469,37479,0.7732571334254884
AnalystRevision,tier1,year,2008,47294,36779,0.7776673573814861
AnalystRevision,tier1,year,2009,45632,35624,0.780680224403927
AnalystRevision,tier1,year,2010,43609,35626,0.8169414570386847
AnalystRevision,tier1,year,2011,41813,34157,0.8168990505345227
AnalystRevision,tier1,year,2012,40557,33021,0.8141874398994008
AnalystRevision,tier1,year,2013,39404,32727,0.8305501979494467
AnalystRevision,tier1,year,2014,39089,32086,0.8208447389291105
AnalystRevision,tier1,year,2015,39747,32559,0.8191561627292626
AnalystRevision,tier1,year,2016,39938,33267,0.8329660974510491
AnalystRevision,tier1,year,2017,39126,32692,0.8355569186730052
AnalystRevision,tier1,year,2018,38469,32130,0.8352179677142635
AnalystRevision,tier1,year,2019,38380,32190,0.8387180823345493
AnalystRevision,tier1,year,2020,38378,32418,0.8447026942519151
AnalystRevision,tier1,year,2021,38947,32913,0.8450715074331784
AnalystRevision,tier1,year,2022,40801,34465,0.8447096884880273
AnalystRevision,tier1,year,2023,42044,18487,0.4397060222623918
FEPS,raw,exchange,1,567120,511938,0.9026978417266187
FEPS,raw,exchange,2,124044,59483,0.47953145657992324
FEPS,raw,exchange,3,1035803,747121,0.7212964241269817
FEPS,raw,overall,all,1726967,1318542,0.7635015608288983
FEPS,raw,size_bucket,1,264031,91637,0.34706909415939796
FEPS,raw,size_bucket,2,339518,214000,0.6303053151821111
FEPS,raw,size_bucket,3,367892,303667,0.8254243093081666
FEPS,raw,size_bucket,4,376436,346542,0.9205867664091638
FEPS,raw,size_bucket,5,379090,362696,0.9567543327442032
FEPS,raw,year,1988,41477,30434,0.7337560575740772
FEPS,raw,year,1989,42465,31283,0.7366772636288709
FEPS,raw,year,1990,42649,31098,0.7291612933480269
FEPS,raw,year,1991,43471,30949,0.711945894964459
FEPS,raw,year,1992,44653,31282,0.700557633305713
FEPS,raw,year,1993,47982,34698,0.7231461798174316
FEPS,raw,year,1994,54024,39604,0.7330815933659115
FEPS,raw,year,1995,60998,44433,0.7284337191383324
FEPS,raw,year,1996,63645,47838,0.7516379919868018
FEPS,raw,year,1997,66538,51396,0.772430791427455
FEPS,raw,year,1998,67689,52551,0.776359526658689
FEPS,raw,year,1999,65063,50467,0.7756635875997111
FEPS,raw,year,2000,62471,47125,0.7543500184085415
FEPS,raw,year,2001,60139,43022,0.7153760454946042
FEPS,raw,year,2002,57332,39569,0.6901730272797042
FEPS,raw,year,2003,53731,37966,0.7065939587947367
FEPS,raw,year,2004,51294,38078,0.7423480329083324
FEPS,raw,year,2005,50116,38467,0.7675592625109745
FEPS,raw,year,2006,49533,39197,0.791331031837361
FEPS,raw,year,2007,48469,38971,0.8040396954754585
FEPS,raw,year,2008,47294,37726,0.7976910390324354
FEPS,raw,year,2009,45632,36899,0.8086211430575035
FEPS,raw,year,2010,43609,36782,0.843449746611938
FEPS,raw,year,2011,41813,34524,0.8256762250974577
FEPS,raw,year,2012,40557,34098,0.8407426584806569
FEPS,raw,year,2013,39404,33249,0.8437975840016242
FEPS,raw,year,2014,39089,33438,0.8554324746092251
FEPS,raw,year,2015,39747,34021,0.8559388129921756
FEPS,raw,year,2016,39938,34370,0.8605839050528319
FEPS,raw,year,2017,39126,33511,0.8564892910085365
FEPS,raw,year,2018,38469,33193,0.8628506069822455
FEPS,raw,year,2019,38380,33407,0.8704273058884836
FEPS,raw,year,2020,38378,33430,0.8710719683151805
FEPS,raw,year,2021,38947,34633,0.889234087349475
FEPS,raw,year,2022,40801,36833,0.9027474816793706
FEPS,raw,year,2023,42044,0,0.0
FEPS,tier1,exchange,1,567120,504635,0.8898204965439414
FEPS,tier1,exchange,2,124044,56190,0.45298442488149365
FEPS,tier1,exchange,3,1035803,717984,0.6931665577334686
FEPS,tier1,overall,all,1726967,1278809,0.7404941727317315
FEPS,tier1,size_bucket,1,264031,97718,0.3701004806253811
FEPS,tier1,size_bucket,2,339518,206170,0.6072432094911021
FEPS,tier1,size_bucket,3,367892,286834,0.779669033303252
FEPS,tier1,size_bucket,4,376436,331616,0.880935935989119
FEPS,tier1,size_bucket,5,379090,356471,0.9403334300561872
FEPS,tier1,year,1988,41477,14502,0.3496395592738144
FEPS,tier1,year,1989,42465,29915,0.7044624985281996
FEPS,tier1,year,1990,42649,30663,0.7189617576027574
FEPS,tier1,year,1991,43471,30383,0.6989257205953394
FEPS,tier1,year,1992,44653,30445,0.6818130920654827
FEPS,tier1,year,1993,47982,32327,0.6737318160977033
FEPS,tier1,year,1994,54024,36075,0.6677587738782763
FEPS,tier1,year,1995,60998,41496,0.6802845994950654
FEPS,tier1,year,1996,63645,44640,0.7013905255715296
FEPS,tier1,year,1997,66538,47459,0.7132615948781148
FEPS,tier1,year,1998,67689,50312,0.7432817739957748
FEPS,tier1,year,1999,65063,49083,0.7543918970843644
FEPS,tier1,year,2000,62471,45897,0.7346928975044421
FEPS,tier1,year,2001,60139,42891,0.7131977585260812
FEPS,tier1,year,2002,57332,39842,0.694934765924789
FEPS,tier1,year,2003,53731,37551,0.6988702983380172
FEPS,tier1,year,2004,51294,36863,0.7186610519748898
FEPS,tier1,year,2005,50116,37231,0.7428964801660148
FEPS,tier1,year,2006,49533,37711,0.7613308299517494
FEPS,tier1,year,2007,48469,37894,0.7818193071860364
FEPS,tier1,year,2008,47294,37122,0.7849198629847338
FEPS,tier1,year,2009,45632,36156,0.7923387096774194
FEPS,tier1,year,2010,43609,36181,0.8296681877594074
FEPS,tier1,year,2011,41813,34482,0.8246717528041518
FEPS,tier1,year,2012,40557,33369,0.8227679562097788
FEPS,tier1,year,2013,39404,33005,0.8376053192569283
FEPS,tier1,year,2014,39089,32383,0.8284427844150528
FEPS,tier1,year,2015,39747,32794,0.8250685586333559
FEPS,tier1,year,2016,39938,33472,0.8380990535329761
FEPS,tier1,year,2017,39126,32923,0.8414609211266165
FEPS,tier1,year,2018,38469,32323,0.8402349944110843
FEPS,tier1,year,2019,38380,32414,0.8445544554455445
FEPS,tier1,year,2020,38378,32618,0.8499140132367502
FEPS,tier1,year,2021,38947,33154,0.8512594038051712
FEPS,tier1,year,2022,40801,34644,0.8490968358618661
FEPS,tier1,year,2023,42044,18589,0.44213205213585766
ForecastDispersion,raw,exchange,1,567120,390066,0.6878015234870927
ForecastDispersion,raw,exchange,2,124044,26364,0.21253748669826836
ForecastDispersion,raw,exchange,3,1035803,471394,0.45510005280926974
ForecastDispersion,raw,overall,all,1726967,887824,0.5140943631233255
ForecastDispersion,raw,size_bucket,1,264031,28154,0.10663141828042919
ForecastDispersion,raw,size_bucket,2,339518,104852,0.30882604162371363
ForecastDispersion,raw,size_bucket,3,367892,197004,0.535494112402553
ForecastDispersion,raw,size_bucket,4,376436,260639,0.6923859567097728
ForecastDispersion,raw,size_bucket,5,379090,297175,0.7839167480017938
ForecastDispersion,raw,year,1988,41477,19138,0.46141234901270584
ForecastDispersion,raw,year,1989,42465,20083,0.47293064876957497
ForecastDispersion,raw,year,1990,42649,20161,0.47271917278248027
ForecastDispersion,raw,year,1991,43471,20084,0.4620091555289733
ForecastDispersion,raw,year,1992,44653,20931,0.46874790047701165
ForecastDispersion,raw,year,1993,47982,23519,0.4901629777833354
ForecastDispersion,raw,year,1994,54024,26740,0.49496520065156224
