signal,benchmark_type,draw_id,moment_family,instrument,moment_value,standardized_moment,j_contribution
AnalystRevision,augmented_signal_history,1,mis,inst_AnalystRevision_phase2_ever_observed_before,-0.0026205418825920685,-3.636680778650743,-15.66142968715394
AnalystRevision,augmented_signal_history,1,mis,inst_AnalystRevision_phase2_lag1_observed,-7.659133462630664e-05,-0.5994878983913692,0.13184593907864808
AnalystRevision,augmented_signal_history,1,mis,inst_AnalystRevision_phase2_lag1_value,-0.006310548698457724,-2.565048201830082,2.4576929648494463
AnalystRevision,augmented_signal_history,1,mis,inst_AnalystRevision_phase2_prev_observed_flag,-7.659133462630664e-05,-0.5994878983913692,0.18698899443334804
AnalystRevision,augmented_signal_history,1,mis,inst_AnalystRevision_phase2_prior_missing_count,-0.43544410226126506,-5.4511768060689105,-1.7360293924524635
AnalystRevision,augmented_signal_history,1,mis,inst_age,-0.0661058960455895,-5.219412563141067,57.00655794458251
AnalystRevision,augmented_signal_history,1,mis,inst_baspread,-0.00019855602167381434,-3.5854471845131672,22.740076787975337
AnalystRevision,augmented_signal_history,1,mis,inst_beta,-0.0033526520449674428,-2.850344152609082,-14.00980736857565
AnalystRevision,augmented_signal_history,1,mis,inst_bm,-0.0027107324560580732,-2.7888315036541256,-15.597126064628991
AnalystRevision,augmented_signal_history,1,mis,inst_const,-0.004082743565977933,-4.79845293531797,-325.76213530133685
AnalystRevision,augmented_signal_history,1,mis,inst_idiovol,-0.0003916962513233736,-4.561590864853238,33.26242399439716
AnalystRevision,augmented_signal_history,1,mis,inst_ill,2.2560246690914945e-08,1.0650230488653722,2.28562901403798
AnalystRevision,augmented_signal_history,1,mis,inst_maxret,-0.00033161615110644226,-3.239390290781656,-4.810433997623259
AnalystRevision,augmented_signal_history,1,mis,inst_mom1m,-2.2239175961349205e-05,-0.19063202075248428,-0.12269605604121332
AnalystRevision,augmented_signal_history,1,mis,inst_mve,-0.04561628151175357,-5.061962567343855,102.18039532729712
AnalystRevision,augmented_signal_history,1,mis,inst_retvol,-0.0001352995924433266,-3.181978057237353,-26.34322930638403
AnalystRevision,augmented_signal_history,1,mis,inst_std_dolvol,-0.004767805137384317,-5.705174088131018,98.33842068952319
AnalystRevision,augmented_signal_history,1,mis,inst_std_turn,-0.19522032030368436,-18.507150697121862,332.6915641679094
AnalystRevision,augmented_signal_history,1,mis,inst_turn,-0.021020256120651403,-3.923311806675297,-5.702737501749948
AnalystRevision,augmented_signal_history,1,mis,x_cond_mean_cf_sq,-0.005212215237839267,-5.6448469650604585,182.60383803674398
AnalystRevision,augmented_signal_history,1,obs,inst_AnalystRevision_phase2_ever_observed_before,0.0012668678121572048,0.9147829717606034,64.45904712293506
AnalystRevision,augmented_signal_history,1,obs,inst_AnalystRevision_phase2_lag1_observed,0.0009559896956845706,0.6980028121606905,-7.91466412606041
AnalystRevision,augmented_signal_history,1,obs,inst_AnalystRevision_phase2_lag1_value,-0.0010205557741552226,-0.7738614509531611,1.0200571332234332
AnalystRevision,augmented_signal_history,1,obs,inst_AnalystRevision_phase2_prev_observed_flag,0.0009559896956845706,0.6980028121606905,-13.332861966278037
AnalystRevision,augmented_signal_history,1,obs,inst_AnalystRevision_phase2_prior_missing_count,-0.06727284083288557,-1.0186609702811311,-3.817648446306132
AnalystRevision,augmented_signal_history,1,obs,inst_age,0.013172233711062499,0.5185934563513732,-3.09077177980658
AnalystRevision,augmented_signal_history,1,obs,inst_baspread,0.0002431079651296311,2.5847973674084987,-55.661170648034044
AnalystRevision,augmented_signal_history,1,obs,inst_beta,0.003594184021209606,1.6394286052897147,-6.8077458498497485
AnalystRevision,augmented_signal_history,1,obs,inst_bm,0.0020611274981134947,1.3789705827640493,-3.74453154513554
AnalystRevision,augmented_signal_history,1,obs,inst_const,0.0009696046452172168,0.6977934581981678,200.39280481710827
AnalystRevision,augmented_signal_history,1,obs,inst_idiovol,0.00026794985363224434,2.02014394173262,33.58779924830854
AnalystRevision,augmented_signal_history,1,obs,inst_ill,7.291838938011984e-09,0.9211373257899271,1.1667565242057654
AnalystRevision,augmented_signal_history,1,obs,inst_maxret,0.0004621613185238969,2.4596138150497966,16.557216766940705
AnalystRevision,augmented_signal_history,1,obs,inst_mom1m,-0.00017358546665992167,-0.6649704359936651,1.7728307968700816
AnalystRevision,augmented_signal_history,1,obs,inst_mve,0.003261653606331696,0.1861465408585178,3.4919099123680093
AnalystRevision,augmented_signal_history,1,obs,inst_retvol,0.0001841442667625457,2.597627967459175,-30.945608750961785
AnalystRevision,augmented_signal_history,1,obs,inst_std_dolvol,0.0004874209057731131,0.4650903230210129,2.024421854741716
AnalystRevision,augmented_signal_history,1,obs,inst_std_turn,0.09457870998410467,1.7609958034531759,41.8534138879188
AnalystRevision,augmented_signal_history,1,obs,inst_turn,0.02042063846090473,2.2266758773385615,71.47404414727167
AnalystRevision,augmented_signal_history,1,obs,x_cond_mean_cf_sq,0.0005938743461844714,0.4184295930654743,-150.12390421472975
AnalystRevision,augmented_signal_history,2,mis,inst_AnalystRevision_phase2_ever_observed_before,-0.0036383459246782223,-6.155684296454013,80.60931606868664
AnalystRevision,augmented_signal_history,2,mis,inst_AnalystRevision_phase2_lag1_observed,-0.00011425436881289663,-1.4650175673309431,0.939736412001958
