column,non_missing_count,total_count,availability_rate
age,1726967,1726967,1.0
baspread,1726967,1726967,1.0
beta,1712425,1726967,0.9915794569322981
bm,1726967,1726967,1.0
idiovol,1712425,1726967,0.9915794569322981
ill,1726741,1726967,0.9998691347315843
maxret,1726967,1726967,1.0
mom1m,1726967,1726967,1.0
mve,1726967,1726967,1.0
retvol,1726942,1726967,0.9999855237534938
std_dolvol,1726187,1726967,0.9995483411090079
std_turn,1726956,1726967,0.9999936304515373
turn,1716358,1726967,0.9938568600326468
